variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
NE,79,602,WN,283,225.9218230447836,-20.168967121984593,-57.078176955216406
NE,80,641,OO,404,NA,NA,NA
NE,81,650,MG,492,NA,NA,NA
NE,82,653,MV,492,NA,NA,NA
NE,83,660,AP,422,226.7850816211906,-46.25945933147142,-195.2149183788094
NE,84,691,WT,726,NA,NA,NA
NE,85,693,BG,430,339.74019372457,-20.990652622193018,-90.25980627542998
NE,86,711,SD,164,NA,NA,NA
NE,87,712,PW,164,NA,NA,NA
NE,88,731,SY,499,322.78350137035875,-35.31392758109043,-176.21649862964125
NE,89,831,WL,315,313.79993129403397,-0.38097419237016894,-1.2000687059660322
NE,90,901,BK,343,268.4008950127363,-21.749010200368417,-74.59910498726367
NE,91,922,BL,447,242.98458468548176,-45.64103250884077,-204.01541531451824
NE,92,931,SS,492,313.46332275447526,-36.287942529578196,-178.53667724552474
NE,93,951,BW,526,355.87646298079187,-32.342877760305726,-170.12353701920813
NE,94,952,WB,526,NA,NA,NA
NE,95,970,EL,282,NA,NA,NA
NE,96,972,AE,282,272.9629459639531,-3.204629090796782,-9.037054036046925
NE,97,975,RL,227,291.0077946018027,28.197266344406472,64.00779460180269
NE,98,998,OH,257,NA,NA,NA
NE,99,313,BE,344,293.6100274847027,-14.648247824214332,-50.3899725152973
NE,100,315,ST,243,259.1547406861582,6.648041434633012,16.15474068615822
NE,101,341,AI,343,347.96567945407946,1.4477199574575697,4.9656794540794635
NE,102,356,SE,657,NA,NA,NA
NE,103,391,AH,375,NA,NA,NA
NE,104,491,DW,257,NA,NA,NA
NE,105,500,HT,463,297.865155625804,-35.6662730829797,-165.134844374196
NE,106,701,HH,304,280.5919649273948,-7.700011537041175,-23.408035072605173
NE,107,760,PL,463,NA,NA,NA
NE,108,761,PR,463,277.0564395134745,-40.16059621739212,-185.94356048652548
SN,1,10,FR,655,NA,NA,NA
SN,2,57,JU,354,NA,NA,NA
SN,3,90,PI,412,NA,NA,NA
SN,4,107,PU,499,314.34372913121973,-37.005264703162375,-184.65627086878027
SN,5,110,SP,490,322.50928792375504,-34.18177797474387,-167.49071207624496
SN,6,111,SA,385,313.59370235087624,-18.5470902984737,-71.40629764912376
SN,7,115,SR,490,331.48932274497963,-32.34911780714701,-158.51067725502037
SN,8,121,LL,332,261.3948368671807,-21.266615401451602,-70.60516313281931
SN,9,123,TM,398,261.18013062359955,-34.37685160211067,-136.81986937640045
SN,10,126,PP,398,352.53266939481654,-11.423952413362679,-45.46733060518346
SN,11,128,PD,310,292.6629379357905,-5.592600665874024,-17.337062064209476
SN,12,129,WP,529,400.3899990773333,-24.311909437177068,-128.6100009226667
SN,13,131,LP,480,352.35505004167686,-26.592697907983986,-127.64494995832314
